Player,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save_pct,CS,CS_pct,Country
Luca Zidane,GK,28-052,3,3,270,3.0,6,2.0,14,8,57.1,0,0.0,Algeria
Oussama Benbot,GK,31-266,1,1,90,1.0,3,3.0,3,0,0.0,0,0.0,Algeria
Emiliano Martínez,GK,33-306,4,4,390,4.3,3,0.69,7,4,57.1,2,50.0,Argentina
Patrick Beach,GK,22-333,4,4,388,4.3,3,0.7,17,14,82.4,2,50.0,Australia
Mathew Ryan,GK,34-088,1,0,2,0.0,0,0.0,0,0,,0,,Australia
Alexander Schlager,GK,30-154,4,4,360,4.0,9,2.25,22,13,59.1,0,0.0,Austria
Thibaut Courtois,GK,34-055,4,4,390,4.3,4,0.92,13,9,69.2,1,25.0,Belgium
Nikola Vasilj,GK,30-215,4,4,360,4.0,8,2.0,14,6,42.9,0,0.0,Bosnia And Herzegovina
Alisson,GK,33-272,4,4,360,4.0,2,0.5,13,11,84.6,2,50.0,Brazil
Vozinha,GK,40-032,4,4,390,4.3,5,1.15,23,18,78.3,2,50.0,Cabo Verde
Maxime Crépeau,GK,32-051,4,4,360,4.0,3,0.75,8,5,62.5,2,50.0,Canada
Camilo Vargas,GK,37-118,4,4,360,4.0,1,0.25,5,4,80.0,3,75.0,Colombia
Lionel Mpasi,GK,31-338,4,4,360,4.0,5,1.25,19,14,73.7,0,0.0,Congo Dr
Dominik Livaković,GK,31-177,4,4,360,4.0,7,1.75,17,10,58.8,1,25.0,Croatia
Eloy Room,GK,37-145,3,3,270,3.0,9,3.0,29,20,69.0,1,33.3,Curaçao
Matej Kovar,GK,26-045,3,3,270,3.0,6,2.0,15,9,60.0,0,0.0,Czechia
Hernán Galíndez,GK,39-093,4,4,360,4.0,4,1.0,13,9,69.2,1,25.0,Ecuador
Mostafa Shobeir,GK,26-051,4,4,390,4.3,4,0.92,13,9,69.2,0,0.0,Egypt
Jordan Pickford,GK,32-120,4,4,360,4.0,3,0.75,9,6,66.7,2,50.0,England
Mike Maignan,GK,30-363,4,4,360,4.0,2,0.5,9,7,77.8,2,50.0,France
Manuel Neuer,GK,40-096,4,4,390,4.3,5,1.15,10,5,50.0,0,0.0,Germany
Benjamin Asare,GK,33-357,3,2,225,2.5,2,0.8,10,8,80.0,2,100.0,Ghana
Lawrence Ati-Zigi,GK,29-218,2,2,135,1.5,1,0.67,9,8,88.9,1,50.0,Ghana
Johny Placide,GK,38-153,3,3,270,3.0,8,2.67,19,11,57.9,0,0.0,Haiti
Alireza Beiranvand,GK,33-283,3,3,270,3.0,3,1.0,18,15,83.3,1,33.3,Iran
Ahmed Basil,GK,29-316,2,2,135,1.5,4,2.67,7,3,42.9,0,0.0,Iraq
Jalal Hassan,GK,35-044,2,1,135,1.5,8,5.33,16,8,50.0,0,0.0,Iraq
Yahia Fofana,GK,25-314,4,4,360,4.0,4,1.0,13,9,69.2,2,50.0,Ivory Cost
Zion Suzuki,GK,23-314,4,4,360,4.0,5,1.25,17,12,70.6,1,25.0,Japan
Yazeed Abulaila,GK,33-174,3,3,270,3.0,8,2.67,16,8,50.0,0,0.0,Jordan
Raúl Rangel,GK,26-126,4,4,347,3.9,0,0.0,6,6,100.0,4,100.0,Mexico
Guillermo Ochoa,GK,40-353,1,0,13,0.1,0,0.0,0,0,,1,,Mexico
Yassine Bounou,GK,35-087,4,4,390,4.3,4,0.92,10,6,60.0,1,25.0,Morocco
Bart Verbruggen,GK,23-317,4,4,390,4.3,5,1.15,21,16,76.2,0,0.0,Netherlands
Max Crocombe,GK,32-323,3,3,270,3.0,10,3.33,21,11,52.4,0,0.0,New Zealand
Ørjan Nyland,GK,35-294,3,3,270,3.0,4,1.33,10,6,60.0,0,0.0,Norway
Egil Selvik,GK,28-336,1,1,90,1.0,4,4.0,9,5,55.6,0,0.0,Norway
Orlando Mosquera,GK,31-188,3,3,270,3.0,4,1.33,11,7,63.6,0,0.0,Panama
Orlando Gill,GK,26-020,4,4,390,4.3,5,1.15,24,19,79.2,2,50.0,Paraguay
Diogo Costa,GK,26-289,4,4,360,4.0,2,0.5,16,14,87.5,2,50.0,Portugal
Mahmoud Abunada,GK,26-146,3,3,270,3.0,10,3.33,22,12,54.5,0,0.0,Qatar
Mohammed Al-Owais,GK,34-264,3,3,270,3.0,5,1.67,21,16,76.2,1,33.3,Saudi Arabia
Angus Gunn,GK,30-160,3,3,270,3.0,4,1.33,12,8,66.7,1,33.3,Scotland
