Player,Pos,Age,90s,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Country
Ramy Bensebaini,DF,31-079,4.0,2,0,0.0,0.5,0.0,0.0,,Algeria
Fares Chaïbi,MF,23-218,4.0,9,3,33.3,2.25,0.75,0.0,0.0,Algeria
Aïssa Mandi,DF,34-255,4.0,0,0,,0.0,0.0,,,Algeria
Ibrahim Maza,"MF,FW",20-222,3.9,11,3,27.3,2.82,0.77,0.0,0.0,Algeria
Rafik Belghali,DF,24-027,3.7,3,1,33.3,0.82,0.27,0.33,1.0,Algeria
Nabil Bentaleb,MF,31-222,3.2,1,0,0.0,0.32,0.0,0.0,,Algeria
Rayan Aït-Nouri,DF,25-028,3.2,1,0,0.0,0.32,0.0,0.0,,Algeria
Luca Zidane,GK,28-052,3.0,0,0,,0.0,0.0,,,Algeria
Riyad Mahrez,MF,35-133,2.9,6,3,50.0,2.06,1.03,0.33,0.67,Algeria
Amine Gouiri,FW,26-138,2.8,3,2,66.7,1.08,0.72,0.33,0.5,Algeria
Houssem Aouar,MF,28-004,1.9,3,1,33.3,1.56,0.52,0.0,0.0,Algeria
Hicham Boudaoui,MF,26-284,1.4,0,0,,0.0,0.0,,,Algeria
Ramiz Zerrouki,MF,28-039,1.2,0,0,,0.0,0.0,,,Algeria
Jaouen Hadjam,DF,23-100,1.2,1,0,0.0,0.83,0.0,0.0,,Algeria
Anis Hadj Moussa,MF,24-143,1.1,2,0,0.0,1.84,0.0,0.0,,Algeria
Oussama Benbot,GK,31-266,1.0,0,0,,0.0,0.0,,,Algeria
Nadhir Benbouali,FW,26-078,0.5,2,2,100.0,4.0,4.0,0.5,0.5,Algeria
Mohamed Amoura,"FW,MF",26-056,0.3,0,0,,0.0,0.0,,,Algeria
Zineddine Belaïd,DF,27-106,0.3,0,0,,0.0,0.0,,,Algeria
Samir Chergui,DF,27-148,0.2,0,0,,0.0,0.0,,,Algeria
Adil Boulbina,FW,23-063,0.2,0,0,,0.0,0.0,,,Algeria
Farés Ghedjemis,"FW,MF",23-301,0.0,0,0,,0.0,0.0,,,Algeria
Emiliano Martínez,GK,33-306,4.3,0,0,,0.0,0.0,,,Argentina
Lautaro Martínez,FW,28-317,2.7,4,2,50.0,1.51,0.75,0.0,0.0,Argentina
Alexis Mac Allister,MF,27-193,3.7,4,1,25.0,1.09,0.27,0.0,0.0,Argentina
Lionel Messi,FW,39-011,3.6,24,15,62.5,6.75,4.22,0.29,0.47,Argentina
Enzo Fernández,MF,25-169,3.3,6,2,33.3,1.8,0.6,0.0,0.0,Argentina
Lisandro Martínez,DF,28-168,3.3,1,1,100.0,0.3,0.3,1.0,1.0,Argentina
Facundo Medina,DF,27-038,2.8,0,0,,0.0,0.0,,,Argentina
Cristian Romero,DF,28-069,2.8,1,0,0.0,0.35,0.0,0.0,,Argentina
Rodrigo De Paul,MF,32-042,2.8,0,0,,0.0,0.0,,,Argentina
