Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Ramy Bensebaini,DF,31-079,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Fares Chaïbi,MF,23-218,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Algeria
Aïssa Mandi,DF,34-255,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Ibrahim Maza,"MF,FW",20-222,4.0,4,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Rafik Belghali,DF,24-027,4.0,4,331.0,3.7,1.0,0.0,0.0,0.0,0.27,0.0,Algeria
Nabil Bentaleb,MF,31-222,4.0,3,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Rayan Aït-Nouri,DF,25-028,4.0,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Luca Zidane,GK,28-052,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Riyad Mahrez,MF,35-133,4.0,3,262.0,2.9,2.0,1.0,0.0,0.0,0.69,0.34,Algeria
Amine Gouiri,FW,26-138,4.0,3,251.0,2.8,1.0,0.0,0.0,0.0,0.36,0.0,Algeria
Houssem Aouar,MF,28-004,3.0,2,173.0,1.9,0.0,2.0,0.0,0.0,0.0,1.04,Algeria
Hicham Boudaoui,MF,26-284,3.0,2,128.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,Algeria
Ramiz Zerrouki,MF,28-039,3.0,2,111.0,1.2,0.0,0.0,1.0,0.0,0.0,0.0,Algeria
Jaouen Hadjam,DF,23-100,3.0,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Anis Hadj Moussa,MF,24-143,3.0,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Oussama Benbot,GK,31-266,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Nadhir Benbouali,FW,26-078,1.0,0,45.0,0.5,1.0,0.0,0.0,0.0,2.0,0.0,Algeria
Mohamed Amoura,"FW,MF",26-056,1.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Zineddine Belaïd,DF,27-106,2.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Samir Chergui,DF,27-148,1.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Adil Boulbina,FW,23-063,2.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Farés Ghedjemis,"FW,MF",23-301,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria
Achref Abada,DF,27-019,0.0,0,,,,,,,,,Algeria
Mohamed Amine Tougai,DF,26-163,0.0,0,,,,,,,,,Algeria
Melvin Mastil,GK,26-135,0.0,0,,,,,,,,,Algeria
Yassine Titraoui,MF,22-343,0.0,0,,,,,,,,,Algeria
Emiliano Martínez,GK,33-306,4.0,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Lautaro Martínez,FW,28-317,4.0,4,239.0,2.7,1.0,0.0,0.0,0.0,0.38,0.0,Argentina
Alexis Mac Allister,MF,27-193,4.0,3,330.0,3.7,0.0,1.0,0.0,0.0,0.0,0.27,Argentina
Lionel Messi,FW,39-011,4.0,3,320.0,3.6,7.0,0.0,0.0,0.0,1.97,0.0,Argentina
Enzo Fernández,MF,25-169,3.0,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Lisandro Martínez,DF,28-168,3.0,3,300.0,3.3,1.0,1.0,0.0,0.0,0.3,0.3,Argentina
Facundo Medina,DF,27-038,3.0,3,256.0,2.8,0.0,1.0,1.0,0.0,0.0,0.35,Argentina
Cristian Romero,DF,28-069,3.0,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Rodrigo De Paul,MF,32-042,3.0,3,254.0,2.8,0.0,1.0,0.0,0.0,0.0,0.35,Argentina
Thiago Almada,MF,25-070,4.0,3,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Nahuel Molina,DF,28-090,3.0,2,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Julián Álvarez,FW,26-155,4.0,1,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Leandro Paredes,MF,32-006,3.0,1,136.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,Argentina
Nicolás Otamendi,DF,38-143,3.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Nicolás Tagliafico,DF,33-308,3.0,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Exequiel Palacios,DF,27-273,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Marcos Senesi,DF,29-056,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Nicolás Paz,MF,21-300,2.0,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Giuliano Simeone,FW,23-199,1.0,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Gonzalo Montiel,DF,29-185,2.0,1,62.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,Argentina
Giovani Lo Celso,MF,30-087,1.0,1,59.0,0.7,1.0,0.0,0.0,0.0,1.53,0.0,Argentina
Nicolás González,"FW,MF",28-090,3.0,0,119.0,1.3,0.0,1.0,0.0,0.0,0.0,0.76,Argentina
Valentín Barco,"DF,MF",21-347,1.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Flaco López,FW,25-211,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
Juan Musso,GK,32-060,0.0,0,,,,,,,,,Argentina
Gerónimo Rulli,GK,34-046,0.0,0,,,,,,,,,Argentina
Alessandro Circati,DF,22-268,4.0,4,390.0,4.3,0.0,0.0,1.0,0.0,0.0,0.0,Australia
Harry Souttar,DF,27-256,4.0,4,390.0,4.3,0.0,0.0,1.0,0.0,0.0,0.0,Australia
Patrick Beach,GK,22-333,4.0,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Aiden O'Neill,MF,28-001,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Jordy Bos,"MF,DF",23-249,4.0,4,308.0,3.4,0.0,0.0,1.0,0.0,0.0,0.0,Australia
Connor Metcalfe,MF,26-242,4.0,3,315.0,3.5,1.0,0.0,0.0,0.0,0.29,0.0,Australia
Nestory Irankunda,"FW,MF",20-146,4.0,3,261.0,2.9,1.0,0.0,0.0,0.0,0.34,0.0,Australia
Jackson Irvine,MF,33-120,4.0,2,223.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,Australia
Aziz Behich,MF,35-201,3.0,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Lucas Herrington,DF,18-303,2.0,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Paul Okon-Engstler,MF,21-162,4.0,2,197.0,2.2,0.0,1.0,0.0,0.0,0.0,0.46,Australia
Mo Touré,FW,22-101,3.0,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia
