Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country,Pos_sh,Age_sh,90s_sh,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Pos_misc,Age_misc,90s_misc,Fls,Fld,Off,Crs,Int,TklW,Pos_gk,Age_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save_pct,CS,CS_pct,match_name,Player_tm,Height,Foot,International matches,Goals,TM_Position,Pos_tm,Value_M,Age_tm
Ramy Bensebaini,DF,31-079,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,DF,31-079,4.0,2.0,0.0,0.0,0.5,0.0,0.0,,DF,31-079,4.0,1.0,5.0,0.0,0.0,7.0,6.0,,,,,,,,,,,,,,ramy bensebaini,Ramy Bensebaini,"1,87m",left,84.0,7,Centre-Back,DF,7.0,31
Fares Chaïbi,MF,23-218,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Algeria,MF,23-218,4.0,9.0,3.0,33.3,2.25,0.75,0.0,0.0,MF,23-218,4.0,3.0,2.0,1.0,6.0,3.0,5.0,,,,,,,,,,,,,,fares chaibi,Farès Chaïbi,"1,83m",right,33.0,3,Attacking Midfield,MF,15.0,23
Aïssa Mandi,DF,34-255,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,DF,34-255,4.0,0.0,0.0,,0.0,0.0,,,DF,34-255,4.0,0.0,5.0,0.0,0.0,4.0,3.0,,,,,,,,,,,,,,aissa mandi,Aïssa Mandi,"1,84m",right,121.0,8,Centre-Back,DF,1.0,34
Ibrahim Maza,"MF,FW",20-222,4.0,4,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,"MF,FW",20-222,3.9,11.0,3.0,27.3,2.82,0.77,0.0,0.0,"MF,FW",20-222,3.9,1.0,5.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,ibrahim maza,Ibrahim Maza,"1,80m",right,20.0,2,Attacking Midfield,MF,45.0,20
Rafik Belghali,DF,24-027,4.0,4,331.0,3.7,1.0,0.0,0.0,0.0,0.27,0.0,Algeria,DF,24-027,3.7,3.0,1.0,33.3,0.82,0.27,0.33,1.0,DF,24-027,3.7,4.0,2.0,0.0,4.0,1.0,3.0,,,,,,,,,,,,,,rafik belghali,Rafik Belghali,"1,80m",right,16.0,2,Right-Back,DF,7.0,24
Nabil Bentaleb,MF,31-222,4.0,3,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,MF,31-222,3.2,1.0,0.0,0.0,0.32,0.0,0.0,,MF,31-222,3.2,2.0,3.0,0.0,3.0,3.0,4.0,,,,,,,,,,,,,,nabil bentaleb,Nabil Bentaleb,"1,89m",left,62.0,6,Defensive Midfield,MF,4.5,31
Rayan Aït-Nouri,DF,25-028,4.0,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,DF,25-028,3.2,1.0,0.0,0.0,0.32,0.0,0.0,,DF,25-028,3.2,6.0,4.0,0.0,8.0,5.0,13.0,,,,,,,,,,,,,,rayan ait nouri,Rayan Aït-Nouri,"1,80m",left,32.0,0,Left-Back,DF,40.0,25
Luca Zidane,GK,28-052,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,GK,28-052,3.0,0.0,0.0,,0.0,0.0,,,GK,28-052,3.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,28-052,3.0,3.0,270.0,3.0,6.0,2.0,14.0,8.0,57.1,0.0,0.0,luca zidane,Luca Zidane,"1,83m",right,9.0,0,Goalkeeper,GK,1.0,28
Riyad Mahrez,MF,35-133,4.0,3,262.0,2.9,2.0,1.0,0.0,0.0,0.69,0.34,Algeria,MF,35-133,2.9,6.0,3.0,50.0,2.06,1.03,0.33,0.67,MF,35-133,2.9,1.0,7.0,1.0,10.0,1.0,2.0,,,,,,,,,,,,,,riyad mahrez,Riyad Mahrez,"1,79m",left,118.0,40,Right Winger,FW,5.0,35
Amine Gouiri,FW,26-138,4.0,3,251.0,2.8,1.0,0.0,0.0,0.0,0.36,0.0,Algeria,FW,26-138,2.8,3.0,2.0,66.7,1.08,0.72,0.33,0.5,FW,26-138,2.8,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,amine gouiri,Amine Gouiri,"1,80m",right,26.0,11,Centre-Forward,FW,28.0,26
Houssem Aouar,MF,28-004,3.0,2,173.0,1.9,0.0,2.0,0.0,0.0,0.0,1.04,Algeria,MF,28-004,1.9,3.0,1.0,33.3,1.56,0.52,0.0,0.0,MF,28-004,1.9,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,houssem aouar,Houssem Aouar,"1,75m",right,23.0,6,Attacking Midfield,MF,8.0,28
Hicham Boudaoui,MF,26-284,3.0,2,128.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,Algeria,MF,26-284,1.4,0.0,0.0,,0.0,0.0,,,MF,26-284,1.4,4.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,hicham boudaoui,Hicham Boudaoui,"1,75m",right,35.0,0,Central Midfield,MF,12.0,26
Ramiz Zerrouki,MF,28-039,3.0,2,111.0,1.2,0.0,0.0,1.0,0.0,0.0,0.0,Algeria,MF,28-039,1.2,0.0,0.0,,0.0,0.0,,,MF,28-039,1.2,4.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,ramiz zerrouki,Ramiz Zerrouki,"1,83m",right,55.0,3,Defensive Midfield,MF,6.5,28
Jaouen Hadjam,DF,23-100,3.0,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,DF,23-100,1.2,1.0,0.0,0.0,0.83,0.0,0.0,,DF,23-100,1.2,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,jaouen hadjam,Jaouen Hadjam,"1,85m",left,20.0,3,Left-Back,DF,7.0,23
Anis Hadj Moussa,MF,24-143,3.0,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,MF,24-143,1.1,2.0,0.0,0.0,1.84,0.0,0.0,,MF,24-143,1.1,0.0,2.0,0.0,5.0,1.0,0.0,,,,,,,,,,,,,,anis hadj moussa,Anis Hadj Moussa,"1,76m",left,17.0,2,Right Winger,FW,23.0,24
Nadhir Benbouali,FW,26-078,1.0,0,45.0,0.5,1.0,0.0,0.0,0.0,2.0,0.0,Algeria,FW,26-078,0.5,2.0,2.0,100.0,4.0,4.0,0.5,0.5,FW,26-078,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,nadhir benbouali,Nadhir Benbouali,"1,90m",left,5.0,2,Centre-Forward,FW,1.2,26
Mohamed Amoura,"FW,MF",26-056,1.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,"FW,MF",26-056,0.3,0.0,0.0,,0.0,0.0,,,"FW,MF",26-056,0.3,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,mohamed amoura,Mohamed Amoura,"1,70m",right,47.0,19,Centre-Forward,FW,20.0,26
Zineddine Belaïd,DF,27-106,2.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,DF,27-106,0.3,0.0,0.0,,0.0,0.0,,,DF,27-106,0.3,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,zineddine belaid,Zineddine Belaid,"1,86m",right,19.0,1,Centre-Back,DF,1.8,27
Samir Chergui,DF,27-148,1.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,DF,27-148,0.2,0.0,0.0,,0.0,0.0,,,DF,27-148,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,samir chergui,Samir Chergui,"1,85m",right,6.0,0,Centre-Back,DF,3.0,27
Adil Boulbina,FW,23-063,2.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,FW,23-063,0.2,0.0,0.0,,0.0,0.0,,,FW,23-063,0.2,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,adil boulbina,Adil Boulbina,1‚83m,right,12.0,5,Left Winger,FW,3.0,23
Farés Ghedjemis,"FW,MF",23-301,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,"FW,MF",23-301,0.0,0.0,0.0,,0.0,0.0,,,"FW,MF",23-301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,fares ghedjemis,Farès Ghedjemis,"1,83m",left,2.0,1,Right Winger,FW,7.5,23
Achref Abada,DF,27-019,0.0,0,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,achref abada,Achref Abada,"1,85m",right,10.0,1,Centre-Back,DF,1.0,27
Mohamed Amine Tougai,DF,26-163,0.0,0,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mohamed amine tougai,Mohamed Amine Tougai,"1,86m",right,30.0,2,Centre-Back,DF,1.3,26
Melvin Mastil,GK,26-135,0.0,0,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,melvin mastil,Melvin Mastil,"1,94m",right,2.0,0,Goalkeeper,GK,0.25,26
Yassine Titraoui,MF,22-343,0.0,0,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yassine titraoui,Yassine Titraoui,"1,80m",,5.0,0,Central Midfield,MF,7.0,22
Emiliano Martínez,GK,33-306,4.0,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,GK,33-306,4.3,0.0,0.0,,0.0,0.0,,,GK,33-306,4.3,0.0,0.0,0.0,0.0,0.0,0.0,GK,33-306,4.0,4.0,390.0,4.3,3.0,0.69,7.0,4.0,57.1,2.0,50.0,emiliano martinez,Emiliano Martínez,"1,95m",right,62.0,0,Goalkeeper,GK,12.0,33
Lautaro Martínez,FW,28-317,4.0,4,239.0,2.7,1.0,0.0,0.0,0.0,0.38,0.0,Argentina,FW,28-317,2.7,4.0,2.0,50.0,1.51,0.75,0.0,0.0,FW,28-317,2.7,7.0,2.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,lautaro martinez,Lautaro Martínez,"1,74m",right,80.0,38,Centre-Forward,FW,85.0,28
Alexis Mac Allister,MF,27-193,4.0,3,330.0,3.7,0.0,1.0,0.0,0.0,0.0,0.27,Argentina,MF,27-193,3.7,4.0,1.0,25.0,1.09,0.27,0.0,0.0,MF,27-193,3.7,5.0,6.0,0.0,0.0,5.0,7.0,,,,,,,,,,,,,,alexis mac allister,Alexis Mac Allister,"1,76m",right,49.0,6,Central Midfield,MF,70.0,27
Lionel Messi,FW,39-011,4.0,3,320.0,3.6,7.0,0.0,0.0,0.0,1.97,0.0,Argentina,FW,39-011,3.6,24.0,15.0,62.5,6.75,4.22,0.29,0.47,FW,39-011,3.6,2.0,11.0,2.0,17.0,0.0,5.0,,,,,,,,,,,,,,lionel messi,Lionel Messi,"1,70m",left,202.0,123,Right Winger,FW,15.0,39
