Player,Height,Foot,International matches,Goals,Country,TM_Position,Pos,Value_M,Age
Luca Zidane,"1,83m",right,9.0,0,Algeria,Goalkeeper,GK,1.0,28
Oussama Benbout,"1,88m",,4.0,0,Algeria,Goalkeeper,GK,0.85,31
Melvin Mastil,"1,94m",right,2.0,0,Algeria,Goalkeeper,GK,0.25,26
Ramy Bensebaini,"1,87m",left,84.0,7,Algeria,Centre-Back,DF,7.0,31
Samir Chergui,"1,85m",right,6.0,0,Algeria,Centre-Back,DF,3.0,27
Zineddine Belaid,"1,86m",right,19.0,1,Algeria,Centre-Back,DF,1.8,27
Mohamed Amine Tougai,"1,86m",right,30.0,2,Algeria,Centre-Back,DF,1.3,26
Aïssa Mandi,"1,84m",right,121.0,8,Algeria,Centre-Back,DF,1.0,34
Achref Abada,"1,85m",right,10.0,1,Algeria,Centre-Back,DF,1.0,27
Rayan Aït-Nouri,"1,80m",left,32.0,0,Algeria,Left-Back,DF,40.0,25
Jaouen Hadjam,"1,85m",left,20.0,3,Algeria,Left-Back,DF,7.0,23
Rafik Belghali,"1,80m",right,16.0,2,Algeria,Right-Back,DF,7.0,24
Ramiz Zerrouki,"1,83m",right,55.0,3,Algeria,Defensive Midfield,MF,6.5,28
Nabil Bentaleb,"1,89m",left,62.0,6,Algeria,Defensive Midfield,MF,4.5,31
Hicham Boudaoui,"1,75m",right,35.0,0,Algeria,Central Midfield,MF,12.0,26
Yassine Titraoui,"1,80m",,5.0,0,Algeria,Central Midfield,MF,7.0,22
Ibrahim Maza,"1,80m",right,20.0,2,Algeria,Attacking Midfield,MF,45.0,20
Farès Chaïbi,"1,83m",right,33.0,3,Algeria,Attacking Midfield,MF,15.0,23
Houssem Aouar,"1,75m",right,23.0,6,Algeria,Attacking Midfield,MF,8.0,28
Adil Boulbina,1‚83m,right,12.0,5,Algeria,Left Winger,FW,3.0,23
Anis Hadj Moussa,"1,76m",left,17.0,2,Algeria,Right Winger,FW,23.0,24
Farès Ghedjemis,"1,83m",left,2.0,1,Algeria,Right Winger,FW,7.5,23
Riyad Mahrez,"1,79m",left,118.0,40,Algeria,Right Winger,FW,5.0,35
Amine Gouiri,"1,80m",right,26.0,11,Algeria,Centre-Forward,FW,28.0,26
Mohamed Amoura,"1,70m",right,47.0,19,Algeria,Centre-Forward,FW,20.0,26
Nadhir Benbouali,"1,90m",left,5.0,2,Algeria,Centre-Forward,FW,1.2,26
Emiliano Martínez,"1,95m",right,62.0,0,Argentina,Goalkeeper,GK,12.0,33
Gerónimo Rulli,"1,89m",right,8.0,0,Argentina,Goalkeeper,GK,6.0,34
